"NAME","GS.br..follow.link.to.MSigDB","GS.DETAILS","SIZE","ES","NES","NOM.p.val","FDR.q.val","FWER.p.val","RANK.AT.MAX","LEADING.EDGE","X"
"CR_DEATH","CR_DEATH","",48,0.2367493,0.8441024,0.71929824,0.7491956,1,235,"tags=13%, list=9%, signal=13%",NA
"HUMAN_MITODB_6_2002","HUMAN_MITODB_6_2002","",198,0.22941414,0.83217555,0.6226415,0.76060706,1,668,"tags=28%, list=25%, signal=35%",NA
"ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","",24,0.29892156,0.83108974,0.7234042,0.75430435,1,533,"tags=33%, list=20%, signal=41%",NA
"RAC1PATHWAY","RAC1PATHWAY","",18,0.29044375,0.8296428,0.6792453,0.7493026,1,446,"tags=28%, list=17%, signal=33%",NA
"MAP00251_GLUTAMATE_METABOLISM","MAP00251_GLUTAMATE_METABOLISM","",16,0.29643053,0.8198344,0.7169811,0.758632,1,1010,"tags=44%, list=38%, signal=70%",NA
"CR_PROTEIN_MOD","CR_PROTEIN_MOD","",114,0.20934616,0.80443394,0.7894737,0.77808297,1,491,"tags=23%, list=18%, signal=27%",NA
"MITOCHONDR","MITOCHONDR","",197,0.20820925,0.7512285,0.7962963,0.85222054,1,720,"tags=30%, list=27%, signal=39%",NA
"GLEEVECPATHWAY","GLEEVECPATHWAY","",18,0.26535404,0.74076104,0.8181818,0.8610784,1,474,"tags=28%, list=18%, signal=34%",NA
"CCR5PATHWAY","CCR5PATHWAY","",17,0.25241283,0.73895335,0.7924528,0.85436493,1,18,"tags=6%, list=1%, signal=6%",NA
"ST_JNK_MAPK_PATHWAY","ST_JNK_MAPK_PATHWAY","",24,0.22065444,0.73295784,0.84,0.85317117,1,237,"tags=13%, list=9%, signal=14%",NA
"KRAS_TOP100_CONTROL","KRAS_TOP100_CONTROL","",31,0.20312826,0.7157942,0.8269231,0.8721846,1,270,"tags=13%, list=10%, signal=14%",NA
"IL2RBPATHWAY","IL2RBPATHWAY","",28,0.24779817,0.71563417,0.8888889,0.8639224,1,437,"tags=25%, list=16%, signal=30%",NA
"ST_DICTYOSTELIUM_DISCOIDEUM_CAMP_CHEMOTAXIS_PATHWAY","ST_DICTYOSTELIUM_DISCOIDEUM_CAMP_CHEMOTAXIS_PATHWAY","",22,0.2474193,0.7136374,0.79310346,0.85833156,1,210,"tags=14%, list=8%, signal=15%",NA
"MAP00280_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","MAP00280_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","",17,0.24814864,0.7134632,0.877193,0.85009193,1,23,"tags=6%, list=1%, signal=6%",NA
"GHPATHWAY","GHPATHWAY","",22,0.24613266,0.6855901,0.8367347,0.88149524,1,470,"tags=27%, list=18%, signal=33%",NA
"RAR_UP","RAR_UP","",18,0.22458577,0.6561539,0.90909094,0.9080593,1,262,"tags=17%, list=10%, signal=18%",NA
"EDG1PATHWAY","EDG1PATHWAY","",18,0.22891976,0.6458407,0.88461536,0.91369295,1,470,"tags=28%, list=18%, signal=33%",NA
"EIF4PATHWAY","EIF4PATHWAY","",21,0.22738653,0.6276591,0.8333333,0.9255525,1,795,"tags=38%, list=30%, signal=54%",NA
"MTORPATHWAY","MTORPATHWAY","",20,0.24149033,0.62403643,0.88461536,0.91919726,1,998,"tags=55%, list=37%, signal=87%",NA
"MAP00361_GAMMA_HEXACHLOROCYCLOHEXANE_DEGRADATION","MAP00361_GAMMA_HEXACHLOROCYCLOHEXANE_DEGRADATION","",18,0.19739005,0.58554745,1,0.94190353,1,344,"tags=11%, list=13%, signal=13%",NA
"AT1RPATHWAY","AT1RPATHWAY","",25,0.18194799,0.568023,0.9649123,0.94640434,1,169,"tags=8%, list=6%, signal=8%",NA
"BRCA_UP","BRCA_UP","",36,0.14043236,0.4982028,0.98245615,0.9740741,1,584,"tags=19%, list=22%, signal=25%",NA
