"NAME","GS.br..follow.link.to.MSigDB","GS.DETAILS","SIZE","ES","NES","NOM.p.val","FDR.q.val","FWER.p.val","RANK.AT.MAX","LEADING.EDGE","X"
"EMT_DOWN","EMT_DOWN","",29,-0.40399504,-1.3438672,0.11363637,0.4574173,0.89,488,"tags=34%, list=18%, signal=42%",NA
"INFLAMPATHWAY","INFLAMPATHWAY","",22,-0.44260535,-1.3329177,0.104166664,0.46089703,0.89,907,"tags=55%, list=34%, signal=82%",NA
"MAP00500_STARCH_AND_SUCROSE_METABOLISM","MAP00500_STARCH_AND_SUCROSE_METABOLISM","",15,-0.45573375,-1.3319999,0.16,0.44583553,0.89,439,"tags=47%, list=16%, signal=56%",NA
"GPCRS_CLASS_A_RHODOPSIN-LIKE","GPCRS_CLASS_A_RHODOPSIN-LIKE","",63,-0.34248358,-1.3151205,0.18604651,0.4664177,0.89,717,"tags=35%, list=27%, signal=47%",NA
"ST_TUMOR_NECROSIS_FACTOR_PATHWAY","ST_TUMOR_NECROSIS_FACTOR_PATHWAY","",22,-0.43918225,-1.308468,0.19607843,0.46561542,0.89,452,"tags=36%, list=17%, signal=43%",NA
"ADULT_LIVER_VS_FETAL_LIVER_GNF2","ADULT_LIVER_VS_FETAL_LIVER_GNF2","",34,-0.39519435,-1.3084661,0.13953489,0.45059556,0.89,510,"tags=35%, list=19%, signal=43%",NA
"KERATINOCYTEPATHWAY","KERATINOCYTEPATHWAY","",30,-0.4154621,-1.3012046,0.22,0.45696172,0.89,577,"tags=43%, list=22%, signal=55%",NA
"TNF_AND_FAS_NETWORK","TNF_AND_FAS_NETWORK","",16,-0.48057547,-1.2973315,0.18,0.4478636,0.89,770,"tags=44%, list=29%, signal=61%",NA
"MAP00561_GLYCEROLIPID_METABOLISM","MAP00561_GLYCEROLIPID_METABOLISM","",27,-0.3630554,-1.2961174,0.21276596,0.43765914,0.89,356,"tags=37%, list=13%, signal=42%",NA
"ST_MONOCYTE_AD_PATHWAY","ST_MONOCYTE_AD_PATHWAY","",17,-0.423217,-1.2906679,0.18604651,0.43525478,0.89,743,"tags=53%, list=28%, signal=73%",NA
"FRASOR_ER_DOWN","FRASOR_ER_DOWN","",41,-0.3316514,-1.2678576,0.2244898,0.4684528,0.91,404,"tags=29%, list=15%, signal=34%",NA
"MCALPAINPATHWAY","MCALPAINPATHWAY","",19,-0.41739607,-1.2608293,0.11627907,0.47018084,0.91,319,"tags=32%, list=12%, signal=36%",NA
"ANDROGEN_UP_GENES","ANDROGEN_UP_GENES","",37,-0.34627473,-1.2561679,0.15,0.46796116,0.91,469,"tags=32%, list=18%, signal=39%",NA
"TGF_BETA_SIGNALING_PATHWAY","TGF_BETA_SIGNALING_PATHWAY","",26,-0.38892937,-1.2558523,0.16666667,0.4571823,0.91,401,"tags=27%, list=15%, signal=31%",NA
"ELECTRON_TRANSPORTER_ACTIVITY","ELECTRON_TRANSPORTER_ACTIVITY","",60,-0.33275703,-1.2479166,0.17777778,0.4604192,0.91,465,"tags=35%, list=17%, signal=41%",NA
"HOX_LIST_JP","HOX_LIST_JP","",18,-0.4721444,-1.2327852,0.22222222,0.47735706,0.91,525,"tags=50%, list=20%, signal=62%",NA
"EPOPATHWAY","EPOPATHWAY","",16,-0.45356342,-1.2229738,0.29411766,0.48323575,0.91,645,"tags=50%, list=24%, signal=66%",NA
"CR_CYTOSKELETON","CR_CYTOSKELETON","",19,-0.42791936,-1.2177848,0.16666667,0.47781092,0.91,625,"tags=42%, list=23%, signal=55%",NA
"MAP00650_BUTANOATE_METABOLISM","MAP00650_BUTANOATE_METABOLISM","",16,-0.41670272,-1.2166648,0.19565217,0.46905124,0.91,263,"tags=19%, list=10%, signal=21%",NA
"NFKB_INDUCED","NFKB_INDUCED","",81,-0.3492288,-1.216146,0.17021276,0.45906234,0.91,449,"tags=33%, list=17%, signal=39%",NA
"NKTPATHWAY","NKTPATHWAY","",23,-0.3797901,-1.2138498,0.22916667,0.45251116,0.91,771,"tags=48%, list=29%, signal=67%",NA
"CR_TRANSCRIPTION_FACTORS","CR_TRANSCRIPTION_FACTORS","",49,-0.34241813,-1.196838,0.25,0.4740719,0.91,307,"tags=24%, list=11%, signal=27%",NA
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","",19,-0.42562804,-1.1914511,0.26530612,0.47654557,0.93,633,"tags=42%, list=24%, signal=55%",NA
"GLUCO","GLUCO","",19,-0.37647402,-1.1869955,0.26530612,0.4768598,0.93,227,"tags=21%, list=8%, signal=23%",NA
"PYK2PATHWAY","PYK2PATHWAY","",23,-0.3914667,-1.1797493,0.33333334,0.48173857,0.94,933,"tags=61%, list=35%, signal=93%",NA
"PTDINSPATHWAY","PTDINSPATHWAY","",17,-0.38317886,-1.163845,0.25490198,0.50880134,0.94,237,"tags=18%, list=9%, signal=19%",NA
"ST_ERK1_ERK2_MAPK_PATHWAY","ST_ERK1_ERK2_MAPK_PATHWAY","",23,-0.3952968,-1.1633211,0.20833333,0.49997714,0.94,697,"tags=39%, list=26%, signal=52%",NA
"MAP00010_GLYCOLYSIS_GLUCONEOGENESIS","MAP00010_GLYCOLYSIS_GLUCONEOGENESIS","",36,-0.336577,-1.1617122,0.24489796,0.4939578,0.94,439,"tags=31%, list=16%, signal=36%",NA
"INSULIN_SIGNALLING","INSULIN_SIGNALLING","",69,-0.30163553,-1.1606028,0.21153846,0.4866062,0.94,579,"tags=33%, list=22%, signal=41%",NA
"EMT_UP","EMT_UP","",46,-0.33665827,-1.1597592,0.26666668,0.47897077,0.94,417,"tags=26%, list=16%, signal=30%",NA
"ST_INTEGRIN_SIGNALING_PATHWAY","ST_INTEGRIN_SIGNALING_PATHWAY","",42,-0.3399017,-1.1585791,0.24444444,0.4730754,0.95,645,"tags=45%, list=24%, signal=59%",NA
"NFKBPATHWAY","NFKBPATHWAY","",16,-0.43258142,-1.1524246,0.30357143,0.47439134,0.95,195,"tags=25%, list=7%, signal=27%",NA
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","",28,-0.33214656,-1.133344,0.21276596,0.5012914,0.95,665,"tags=36%, list=25%, signal=47%",NA
"TESTIS_GENES_FROM_XHX_AND_NETAFFX","TESTIS_GENES_FROM_XHX_AND_NETAFFX","",20,-0.38148177,-1.1328354,0.27659574,0.493396,0.95,709,"tags=45%, list=27%, signal=61%",NA
"MAP00350_TYROSINE_METABOLISM","MAP00350_TYROSINE_METABOLISM","",17,-0.37702927,-1.1290083,0.35714287,0.4922696,0.96,415,"tags=29%, list=16%, signal=35%",NA
"ST_ADRENERGIC","ST_ADRENERGIC","",27,-0.34112585,-1.1063282,0.27272728,0.5315561,0.96,633,"tags=33%, list=24%, signal=43%",NA
"BIOPEPTIDESPATHWAY","BIOPEPTIDESPATHWAY","",32,-0.33433494,-1.0952525,0.29787233,0.5480757,0.96,760,"tags=47%, list=28%, signal=65%",NA
"GSK3PATHWAY","GSK3PATHWAY","",16,-0.39893976,-1.0936569,0.32,0.54254794,0.96,198,"tags=25%, list=7%, signal=27%",NA
"UPREG_BY_HOXA9","UPREG_BY_HOXA9","",24,-0.36519933,-1.0878003,0.3255814,0.5446876,0.96,567,"tags=33%, list=21%, signal=42%",NA
"NGFPATHWAY","NGFPATHWAY","",15,-0.42468417,-1.0601456,0.42,0.59157866,0.97,932,"tags=60%, list=35%, signal=92%",NA
"SPPAPATHWAY","SPPAPATHWAY","",18,-0.32507062,-1.0583874,0.35714287,0.5846221,0.97,577,"tags=33%, list=22%, signal=42%",NA
"CR_SIGNALLING","CR_SIGNALLING","",131,-0.25180432,-1.057064,0.38636363,0.5784068,0.97,585,"tags=27%, list=22%, signal=33%",NA
"MAP00330_ARGININE_AND_PROLINE_METABOLISM","MAP00330_ARGININE_AND_PROLINE_METABOLISM","",24,-0.32558247,-1.056306,0.36734694,0.57143456,0.97,763,"tags=46%, list=29%, signal=64%",NA
"ST_B_CELL_ANTIGEN_RECEPTOR","ST_B_CELL_ANTIGEN_RECEPTOR","",28,-0.35901055,-1.0525401,0.3529412,0.56965834,0.97,645,"tags=43%, list=24%, signal=56%",NA
"MAPKPATHWAY","MAPKPATHWAY","",53,-0.29356202,-1.0273935,0.44680852,0.6072186,0.98,645,"tags=38%, list=24%, signal=49%",NA
"ST_GRANULE_CELL_SURVIVAL_PATHWAY","ST_GRANULE_CELL_SURVIVAL_PATHWAY","",18,-0.32862416,-1.0177085,0.42222223,0.6156278,0.98,71,"tags=11%, list=3%, signal=11%",NA
"GCRPATHWAY","GCRPATHWAY","",15,-0.36306578,-0.99116755,0.49056605,0.65722275,0.98,354,"tags=33%, list=13%, signal=38%",NA
"RHOPATHWAY","RHOPATHWAY","",18,-0.32194072,-0.978112,0.4651163,0.6712275,0.98,922,"tags=61%, list=35%, signal=93%",NA
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","",16,-0.34927312,-0.9685457,0.39583334,0.6800044,0.98,645,"tags=31%, list=24%, signal=41%",NA
"GLUCOSE_UP","GLUCOSE_UP","",25,-0.30406636,-0.9590829,0.4680851,0.68880683,0.98,651,"tags=44%, list=24%, signal=58%",NA
"NO1PATHWAY","NO1PATHWAY","",21,-0.29044887,-0.95843744,0.53846157,0.67998976,0.98,323,"tags=19%, list=12%, signal=21%",NA
"HEMO_TF_LIST_JP","HEMO_TF_LIST_JP","",58,-0.28074574,-0.95431423,0.52380955,0.67995244,0.98,401,"tags=24%, list=15%, signal=28%",NA
"GNF_FEMALE_GENES","GNF_FEMALE_GENES","",56,-0.2767569,-0.9524216,0.5294118,0.6745568,0.98,289,"tags=14%, list=11%, signal=16%",NA
"DEATHPATHWAY","DEATHPATHWAY","",22,-0.3291404,-0.95110196,0.5106383,0.66776043,0.98,229,"tags=27%, list=9%, signal=30%",NA
"FMLPPATHWAY","FMLPPATHWAY","",27,-0.29787394,-0.9505249,0.48,0.6603495,0.98,629,"tags=44%, list=24%, signal=58%",NA
"P53_UP","P53_UP","",29,-0.27056655,-0.9473912,0.52380955,0.6578876,0.98,307,"tags=17%, list=11%, signal=19%",NA
"TPOPATHWAY","TPOPATHWAY","",21,-0.34202063,-0.94312245,0.525,0.6572227,0.98,905,"tags=62%, list=34%, signal=93%",NA
"NKCELLSPATHWAY","NKCELLSPATHWAY","",16,-0.35520375,-0.93785584,0.53488374,0.65592307,0.98,647,"tags=31%, list=24%, signal=41%",NA
"ST_WNT_BETA_CATENIN_PATHWAY","ST_WNT_BETA_CATENIN_PATHWAY","",15,-0.34419456,-0.93584985,0.5625,0.65181667,0.98,269,"tags=20%, list=10%, signal=22%",NA
"METPATHWAY","METPATHWAY","",29,-0.29581824,-0.92907774,0.54347825,0.6550479,0.98,665,"tags=38%, list=25%, signal=50%",NA
"ECMPATHWAY","ECMPATHWAY","",17,-0.32326257,-0.92864454,0.5,0.6487051,0.98,577,"tags=29%, list=22%, signal=37%",NA
"CELL_GROWTH_AND_OR_MAINTENANCE","CELL_GROWTH_AND_OR_MAINTENANCE","",31,-0.25611004,-0.9097889,0.61702126,0.6793618,0.98,411,"tags=23%, list=15%, signal=26%",NA
"EGFPATHWAY","EGFPATHWAY","",23,-0.33228502,-0.9073487,0.6818182,0.6758986,0.98,645,"tags=39%, list=24%, signal=51%",NA
"RACCYCDPATHWAY","RACCYCDPATHWAY","",20,-0.29018486,-0.8853204,0.54901963,0.70622677,0.98,137,"tags=15%, list=5%, signal=16%",NA
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","",16,-0.29451057,-0.88512367,0.5882353,0.6987953,0.98,241,"tags=25%, list=9%, signal=27%",NA
"INS","INS","",18,-0.28729028,-0.86928993,0.6666667,0.72022974,0.98,579,"tags=33%, list=22%, signal=42%",NA
"CCR3PATHWAY","CCR3PATHWAY","",16,-0.31019026,-0.8631791,0.6511628,0.72260517,0.98,577,"tags=44%, list=22%, signal=55%",NA
"BREAST_CANCER_ESTROGEN_SIGNALLING","BREAST_CANCER_ESTROGEN_SIGNALLING","",56,-0.20946029,-0.8402873,0.8333333,0.7544688,0.98,477,"tags=21%, list=18%, signal=26%",NA
"MAP00640_PROPANOATE_METABOLISM","MAP00640_PROPANOATE_METABOLISM","",15,-0.27785882,-0.83523935,0.7291667,0.75460446,0.98,263,"tags=20%, list=10%, signal=22%",NA
"CXCR4PATHWAY","CXCR4PATHWAY","",21,-0.28525454,-0.8335867,0.64285713,0.74967074,0.98,589,"tags=43%, list=22%, signal=55%",NA
"ST_P38_MAPK_PATHWAY","ST_P38_MAPK_PATHWAY","",23,-0.24783824,-0.798305,0.7307692,0.80483174,0.98,390,"tags=17%, list=15%, signal=20%",NA
"RASPATHWAY","RASPATHWAY","",18,-0.27919015,-0.7979293,0.7647059,0.7979805,0.98,165,"tags=17%, list=6%, signal=18%",NA
"BADPATHWAY","BADPATHWAY","",15,-0.28282169,-0.79586,0.68085104,0.7930851,0.98,477,"tags=27%, list=18%, signal=32%",NA
"MAP00190_OXIDATIVE_PHOSPHORYLATION","MAP00190_OXIDATIVE_PHOSPHORYLATION","",30,-0.31205478,-0.7858127,0.6666667,0.80417,0.98,238,"tags=20%, list=9%, signal=22%",NA
"ST_T_CELL_SIGNAL_TRANSDUCTION","ST_T_CELL_SIGNAL_TRANSDUCTION","",26,-0.25990874,-0.7803279,0.74,0.8039965,0.98,645,"tags=42%, list=24%, signal=55%",NA
"IL12PATHWAY","IL12PATHWAY","",19,-0.2609628,-0.7775162,0.84090906,0.8023197,0.98,130,"tags=11%, list=5%, signal=11%",NA
"PDGFPATHWAY","PDGFPATHWAY","",25,-0.26062742,-0.77080256,0.72,0.8058978,0.99,645,"tags=36%, list=24%, signal=47%",NA
"SIG_INSULINRECEPTORPATHWAYINCARDIACMYOCYTES","SIG_INSULINRECEPTORPATHWAYINCARDIACMYOCYTES","",33,-0.23491852,-0.76684743,0.76,0.803439,0.99,645,"tags=36%, list=24%, signal=47%",NA
"CR_DNA_MET_AND_MOD","CR_DNA_MET_AND_MOD","",15,-0.26023978,-0.75191206,0.7446808,0.8203155,0.99,178,"tags=13%, list=7%, signal=14%",NA
"ALKPATHWAY","ALKPATHWAY","",17,-0.2489895,-0.7497059,0.7826087,0.8151131,0.99,191,"tags=18%, list=7%, signal=19%",NA
"FCER1PATHWAY","FCER1PATHWAY","",32,-0.23840578,-0.74630046,0.78571427,0.81159294,0.99,645,"tags=34%, list=24%, signal=45%",NA
"ATMPATHWAY","ATMPATHWAY","",15,-0.25885195,-0.73304844,0.8333333,0.8246798,0.99,137,"tags=13%, list=5%, signal=14%",NA
"P53HYPOXIAPATHWAY","P53HYPOXIAPATHWAY","",17,-0.22713105,-0.7003491,0.7962963,0.86236477,0.99,125,"tags=12%, list=5%, signal=12%",NA
"ELECTRON_TRANSPORT","ELECTRON_TRANSPORT","",32,-0.18500297,-0.67078084,0.96363634,0.89438885,0.99,486,"tags=16%, list=18%, signal=19%",NA
"IL2PATHWAY","IL2PATHWAY","",19,-0.2325401,-0.6685882,0.8863636,0.8884024,0.99,811,"tags=42%, list=30%, signal=60%",NA
"IGF1PATHWAY","IGF1PATHWAY","",18,-0.24398668,-0.6325051,0.95652175,0.9225302,0.99,665,"tags=33%, list=25%, signal=44%",NA
"INSULINPATHWAY","INSULINPATHWAY","",20,-0.22331293,-0.62765485,0.8958333,0.9221683,1,665,"tags=35%, list=25%, signal=46%",NA
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","",20,-0.21560732,-0.60314894,0.9347826,0.9409068,1,669,"tags=35%, list=25%, signal=46%",NA
"CERAMIDEPATHWAY","CERAMIDEPATHWAY","",18,-0.21074875,-0.5941858,0.9166667,0.94272894,1,577,"tags=33%, list=22%, signal=42%",NA
"ERKPATHWAY","ERKPATHWAY","",21,-0.20948355,-0.5917396,0.90697676,0.9365422,1,697,"tags=38%, list=26%, signal=51%",NA
"CREBPATHWAY","CREBPATHWAY","",21,-0.19368269,-0.5635609,0.9130435,0.9464528,1,319,"tags=14%, list=12%, signal=16%",NA
"G13_SIGNALING_PATHWAY","G13_SIGNALING_PATHWAY","",18,-0.18238205,-0.5460219,0.9574468,0.94911766,1,760,"tags=39%, list=28%, signal=54%",NA
